true_province,predicted_province,baseline_count,candidate_count,change_candidate_minus_baseline
24,93,1,0,-1
49,69,0,1,1
64,61,1,0,-1
64,81,1,0,-1
69,72,0,1,1
83,85,1,0,-1
47,83,0,1,1
82,59,1,0,-1
25,48,1,0,-1
34,18,0,1,1
93,12,0,1,1
47,62,1,1,0
28,22,1,1,0
85,95,1,0,-1
72,66,1,1,0
59,34,1,0,-1
93,43,1,0,-1
75,79,0,1,1
92,22,0,1,1
17,60,0,1,1
93,15,0,1,1
65,85,1,1,0
89,19,1,1,0
49,98,0,1,1
79,71,1,1,0
93,36,1,0,-1
28,25,1,1,0
14,23,1,1,0
85,76,0,1,1
12,15,0,1,1
36,22,1,0,-1
60,72,0,1,1
28,89,1,0,-1
60,93,1,0,-1
12,36,0,1,1
23,11,1,1,0
69,79,0,1,1
84,72,0,1,1
28,20,0,1,1
24,30,0,1,1
64,94,0,1,1
30,15,0,1,1
79,75,0,1,1
14,28,0,1,1
27,49,0,1,1
27,98,0,1,1
11,37,1,0,-1
67,30,1,0,-1
93,92,0,1,1
99,26,1,1,0
36,89,0,1,1
15,90,1,0,-1
59,26,1,1,0
94,85,1,0,-1
62,98,1,0,-1
19,15,1,0,-1
93,86,0,1,1
65,94,0,1,1
30,97,1,0,-1
72,79,0,1,1
72,37,1,1,0
81,65,0,1,1
73,24,1,0,-1
34,92,0,1,1
75,12,1,0,-1
12,89,1,0,-1
30,59,1,0,-1
60,30,1,0,-1
83,74,0,1,1
27,21,1,0,-1
97,49,0,1,1
84,49,0,1,1
90,12,1,1,0
84,30,1,1,0
12,20,1,0,-1
62,81,1,1,0
81,82,1,1,0
72,95,1,0,-1
11,47,1,0,-1
92,75,1,0,-1
79,81,0,1,1
93,71,1,0,-1
14,95,0,1,1
81,23,1,1,0
19,25,1,0,-1
66,68,0,1,1
20,37,1,0,-1
73,77,1,0,-1
82,64,0,1,1
60,21,1,0,-1
82,17,1,1,0
25,19,1,1,0
81,11,0,1,1
75,59,0,1,1
89,64,0,1,1
21,88,1,0,-1
90,22,1,0,-1
60,73,0,1,1
49,90,1,0,-1
68,59,0,1,1
64,93,1,0,-1
25,20,0,1,1
76,37,1,0,-1
89,70,1,0,-1
79,68,0,1,1
59,99,1,1,0
72,15,0,1,1
98,99,0,1,1
61,85,1,0,-1
92,61,1,0,-1
14,88,0,1,1
48,74,1,1,0
59,85,0,1,1
14,36,0,1,1
59,21,1,0,-1
81,84,0,1,1
90,20,1,1,0
88,72,1,0,-1
